Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
941253,Bank account or service,Checking account,"Account opening, closing, or management",,GA,30041,Referral,7/16/2014,7/22/2014,SunTrust Bank,Closed with monetary relief,Yes,No
941285,Bank account or service,Checking account,Problems caused by my funds being low,,TN,37920,Web,7/17/2014,7/17/2014,BB&T Financial,Closed with explanation,Yes,No
941363,Bank account or service,Other bank product/service,"Account opening, closing, or management",,MS,39083,Phone,7/17/2014,7/22/2014,Regions,Closed with explanation,Yes,Yes
941365,Bank account or service,Other bank product/service,"Account opening, closing, or management",,MS,39083,Phone,7/17/2014,7/22/2014,Wells Fargo,Closed with explanation,Yes,No
941507,Bank account or service,Checking account,Deposits and withdrawals,,GA,30179,Phone,7/17/2014,7/22/2014,Bank of America,Closed with explanation,Yes,No
941536,Bank account or service,Checking account,Deposits and withdrawals,,OR,97060,Phone,7/17/2014,7/22/2014,Wells Fargo,Closed with explanation,Yes,No
941546,Bank account or service,Checking account,"Account opening, closing, or management",,FL,32835,Web,7/17/2014,7/17/2014,Wells Fargo,Closed with monetary relief,Yes,No
941562,Bank account or service,Other bank product/service,Using a debit or ATM card,,MI,48653,Web,7/17/2014,7/17/2014,Comerica,Closed with monetary relief,Yes,No
941636,Bank account or service,Checking account,Deposits and withdrawals,,MI,48223,Phone,7/17/2014,7/22/2014,Bank of America,Closed with monetary relief,Yes,No
941664,Bank account or service,Other bank product/service,"Account opening, closing, or management",,VT,5855,Referral,7/17/2014,7/23/2014,TD Bank,Closed with explanation,Yes,Yes
941671,Bank account or service,Checking account,Deposits and withdrawals,,FL,33983,Referral,7/17/2014,7/22/2014,BNY Mellon,Closed with explanation,Yes,Yes
941673,Bank account or service,Checking account,Deposits and withdrawals,,TX,78723,Referral,7/17/2014,7/22/2014,Bank of America,Closed with explanation,Yes,No
941696,Bank account or service,Checking account,"Account opening, closing, or management",,CA,94022,Phone,7/17/2014,7/22/2014,Bank of America,Closed with non-monetary relief,Yes,No
941732,Bank account or service,Checking account,Deposits and withdrawals,,IN,46383,Phone,7/17/2014,7/22/2014,Capital One,Closed with explanation,Yes,No
941868,Bank account or service,Checking account,Deposits and withdrawals,,CO,80107,Phone,7/17/2014,7/22/2014,JPMorgan Chase,Closed with explanation,Yes,Yes
941905,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,FL,33428,Web,7/17/2014,7/17/2014,Bank of the West,Closed with explanation,Yes,No
942018,Bank account or service,Checking account,"Account opening, closing, or management",,PA,19147,Fax,7/17/2014,7/22/2014,PNC Bank,Closed with explanation,Yes,No
942030,Bank account or service,Other bank product/service,"Account opening, closing, or management",,FL,32216,Web,7/17/2014,7/17/2014,TD Bank,Closed with monetary relief,Yes,No
942040,Bank account or service,Checking account,"Account opening, closing, or management",,WI,53132,Postal mail,7/17/2014,7/22/2014,U.S. Bancorp,Closed with explanation,Yes,No
942136,Bank account or service,Checking account,Problems caused by my funds being low,,MI,41870,Phone,7/17/2014,7/23/2014,JPMorgan Chase,Closed with explanation,Yes,No
942155,Bank account or service,Checking account,"Account opening, closing, or management",,FL,33442,Phone,7/17/2014,7/23/2014,Wells Fargo,Closed with monetary relief,Yes,No
942162,Bank account or service,Checking account,Problems caused by my funds being low,,MD,21784,Referral,7/17/2014,7/22/2014,Susquehanna Bank,Closed with explanation,Yes,Yes
942183,Bank account or service,Checking account,"Account opening, closing, or management",,MD,21742,Referral,7/17/2014,7/22/2014,Bank of America,Closed with monetary relief,Yes,No
942192,Bank account or service,Other bank product/service,Deposits and withdrawals,,CO,80218,Web,7/17/2014,7/17/2014,Wells Fargo,Closed with explanation,Yes,No
942288,Bank account or service,Savings account,"Account opening, closing, or management",,AZ,85048,Web,7/17/2014,7/17/2014,RBS Citizens,Closed with explanation,Yes,No
942331,Bank account or service,Checking account,Deposits and withdrawals,,NY,11520,Referral,7/17/2014,7/23/2014,Bank of America,Closed with non-monetary relief,Yes,Yes
942347,Bank account or service,Checking account,"Account opening, closing, or management",,NY,10024,Phone,7/17/2014,7/22/2014,JPMorgan Chase,Closed with explanation,Yes,Yes
942352,Bank account or service,Checking account,"Account opening, closing, or management",,MI,49224,Web,7/17/2014,7/17/2014,Fifth Third Bank,Closed with monetary relief,Yes,No
942427,Bank account or service,Other bank product/service,"Account opening, closing, or management",,CA,92104,Web,7/17/2014,7/17/2014,Amex,Closed with explanation,Yes,No
942464,Bank account or service,Savings account,Deposits and withdrawals,,CA,91501,Web,7/17/2014,7/17/2014,Wells Fargo,Closed with monetary relief,Yes,No
942481,Bank account or service,Checking account,"Account opening, closing, or management",,FL,33181,Phone,7/17/2014,7/22/2014,JPMorgan Chase,Closed with explanation,Yes,No
942501,Bank account or service,Other bank product/service,Deposits and withdrawals,,AZ,85745,Fax,7/17/2014,7/23/2014,Bank of America,Closed with explanation,Yes,No
942522,Bank account or service,Checking account,Problems caused by my funds being low,,MD,21060,Referral,7/17/2014,7/23/2014,M&T Bank,Closed with explanation,Yes,No
942553,Bank account or service,Checking account,"Account opening, closing, or management",,MD,21403,Web,7/17/2014,7/17/2014,Wells Fargo,Closed with explanation,Yes,No
942569,Bank account or service,Cashing a check without an account,"Making/receiving payments, sending money",,IL,60561,Web,7/17/2014,7/17/2014,JPMorgan Chase,Closed with explanation,Yes,No
942590,Bank account or service,Other bank product/service,"Account opening, closing, or management",,TX,77065,Web,7/16/2014,7/16/2014,Wells Fargo,Closed with explanation,Yes,No
942591,Bank account or service,Other bank product/service,"Account opening, closing, or management",,TX,77065,Web,7/16/2014,7/17/2014,JPMorgan Chase,Closed with explanation,Yes,No
942597,Bank account or service,Other bank product/service,"Account opening, closing, or management",,TX,77065,Web,7/16/2014,7/17/2014,GE Capital Retail,Closed with explanation,Yes,No
942604,Bank account or service,Checking account,"Account opening, closing, or management",,WV,25053,Referral,7/17/2014,7/22/2014,JPMorgan Chase,Closed with explanation,Yes,No
942615,Bank account or service,Checking account,Problems caused by my funds being low,,TX,78642,Web,7/17/2014,7/17/2014,U.S. Bancorp,Closed with monetary relief,Yes,No
942689,Bank account or service,Checking account,Using a debit or ATM card,,VA,22039,Referral,7/16/2014,7/22/2014,Comerica,Closed with explanation,Yes,Yes
942701,Bank account or service,Checking account,"Making/receiving payments, sending money",,NY,10550,Referral,7/17/2014,7/22/2014,JPMorgan Chase,Closed with explanation,Yes,No
942714,Bank account or service,Other bank product/service,"Account opening, closing, or management",,NY,14075,Web,7/17/2014,7/22/2014,Navy FCU,Closed with explanation,Yes,No
942720,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,CA,91765,Web,7/17/2014,7/17/2014,Comerica,Closed with explanation,Yes,Yes
942768,Bank account or service,Checking account,Deposits and withdrawals,,VA,22307,Web,7/17/2014,7/17/2014,Wells Fargo,Closed with explanation,Yes,No
942807,Bank account or service,Checking account,"Account opening, closing, or management",,OH,43615,Referral,7/16/2014,7/22/2014,SunTrust Bank,Closed with monetary relief,Yes,No
942818,Bank account or service,Checking account,"Making/receiving payments, sending money",,NJ,7735,Postal mail,7/17/2014,7/22/2014,TD Bank,Closed with explanation,Yes,No
943059,Bank account or service,Checking account,"Account opening, closing, or management",,NY,11235,Postal mail,7/18/2014,7/23/2014,Citibank,Closed with explanation,Yes,No
943071,Bank account or service,Checking account,Problems caused by my funds being low,,NJ,8701,Postal mail,7/17/2014,10/31/2014,PNC Bank,Closed with explanation,Yes,No
943072,Bank account or service,Checking account,Problems caused by my funds being low,,NJ,8701,Postal mail,7/17/2014,8/5/2014,TD Bank,Closed with explanation,Yes,No
943116,Bank account or service,Checking account,"Account opening, closing, or management",,NC,27410,Referral,7/18/2014,7/23/2014,Bank of America,Closed with explanation,Yes,No
943175,Bank account or service,Savings account,"Account opening, closing, or management",,MD,20724,Web,7/17/2014,7/23/2014,U.S. Bancorp,Closed with explanation,Yes,No
943227,Bank account or service,Savings account,Using a debit or ATM card,,GA,30087,Web,7/18/2014,7/18/2014,Navy FCU,Closed with explanation,Yes,No
943286,Bank account or service,Checking account,Problems caused by my funds being low,,NC,28311,Phone,7/18/2014,7/23/2014,BB&T Financial,Closed with explanation,Yes,No
943319,Bank account or service,Savings account,"Account opening, closing, or management",,MN,55431,Web,7/18/2014,7/18/2014,U.S. Bancorp,Closed with monetary relief,Yes,No
943349,Bank account or service,Other bank product/service,"Account opening, closing, or management",,MD,21015,Postal mail,7/18/2014,7/23/2014,First Data Corporation,Closed with explanation,Yes,No
943421,Bank account or service,Other bank product/service,"Account opening, closing, or management",,NJ,7102,Web,7/18/2014,8/11/2014,BNY Mellon,Closed with explanation,Yes,No
943427,Bank account or service,Checking account,"Account opening, closing, or management",,MD,21207,Phone,7/18/2014,7/23/2014,Bank of America,Closed with explanation,Yes,No
943545,Bank account or service,Other bank product/service,"Account opening, closing, or management",,TX,75225,Web,7/18/2014,7/23/2014,PayPal,Closed with explanation,Yes,No
943554,Bank account or service,Checking account,Deposits and withdrawals,,MA,2115,Phone,7/18/2014,7/23/2014,Santander Bank US,Closed with monetary relief,Yes,No
943561,Bank account or service,Savings account,"Account opening, closing, or management",,CA,94705,Web,7/18/2014,7/23/2014,GE Capital Retail,Closed with explanation,Yes,No
